The train model is : ./model/Sougoumodel_epoch_9.bin
The logger information is saved in : ./train_data/job_logger.txt
	 batch = 12600 	 loss = 4.51159 	 cost_time = 648.439s
	 batch = 12700 	 loss = 4.64415 	 cost_time = 653.701s
	 batch = 12800 	 loss = 3.99165 	 cost_time = 658.832s
	 batch = 12900 	 loss = 8.58094 	 cost_time = 663.960s
	 batch = 13000 	 loss = 2.57670 	 cost_time = 669.542s
	 batch = 13100 	 loss = 3.70143 	 cost_time = 674.108s
	 batch = 13200 	 loss = 1.58765 	 cost_time = 679.305s
	 batch = 13300 	 loss = 4.31688 	 cost_time = 684.614s
	 batch = 13400 	 loss = 5.50357 	 cost_time = 689.709s
	 batch = 13500 	 loss = 3.29573 	 cost_time = 694.787s
	 batch = 13600 	 loss = 5.17021 	 cost_time = 700.109s
	 batch = 13700 	 loss = 5.02628 	 cost_time = 704.954s
	 batch = 13800 	 loss = 4.44258 	 cost_time = 710.014s
	 batch = 13900 	 loss = 8.62644 	 cost_time = 715.028s
	 batch = 14000 	 loss = 1.46035 	 cost_time = 720.646s
	 batch = 14100 	 loss = 5.58034 	 cost_time = 725.478s
	 batch = 14200 	 loss = 5.46542 	 cost_time = 730.301s
	 batch = 14300 	 loss = 4.95152 	 cost_time = 735.200s
	 batch = 14400 	 loss = 4.16811 	 cost_time = 740.209s
	 batch = 14500 	 loss = 4.79762 	 cost_time = 745.299s
	 batch = 14600 	 loss = 4.10805 	 cost_time = 750.364s
	 batch = 14700 	 loss = 4.60768 	 cost_time = 755.518s
	 batch = 14800 	 loss = 5.54911 	 cost_time = 760.594s
	 batch = 14900 	 loss = 3.35257 	 cost_time = 765.661s
	 batch = 15000 	 loss = 4.59123 	 cost_time = 771.466s
	 batch = 15100 	 loss = 4.30909 	 cost_time = 776.342s
	 batch = 15200 	 loss = 1.90986 	 cost_time = 781.525s
	 batch = 15300 	 loss = 4.48802 	 cost_time = 786.529s
	 batch = 15400 	 loss = 3.12874 	 cost_time = 791.683s
	 batch = 15500 	 loss = 3.63033 	 cost_time = 796.528s
	 batch = 15600 	 loss = 4.73656 	 cost_time = 801.902s
	 batch = 15700 	 loss = 5.96024 	 cost_time = 806.957s
	 batch = 15800 	 loss = 3.25849 	 cost_time = 811.652s
	 batch = 15900 	 loss = 1.09956 	 cost_time = 816.836s
	 batch = 16000 	 loss = 4.00001 	 cost_time = 822.403s
	 batch = 16100 	 loss = 3.64735 	 cost_time = 827.641s
	 batch = 16200 	 loss = 4.23974 	 cost_time = 832.712s
	 batch = 16300 	 loss = 5.74100 	 cost_time = 837.722s
	 batch = 16400 	 loss = 1.72750 	 cost_time = 842.622s
	 batch = 16500 	 loss = 5.07067 	 cost_time = 847.292s
	 batch = 16600 	 loss = 5.55291 	 cost_time = 852.230s
	 batch = 16700 	 loss = 2.98909 	 cost_time = 857.251s
	 batch = 16800 	 loss = 2.80578 	 cost_time = 862.265s
	 batch = 16900 	 loss = 5.26827 	 cost_time = 867.430s
	 batch = 17000 	 loss = 3.88880 	 cost_time = 873.065s
	 batch = 17100 	 loss = 8.85850 	 cost_time = 878.163s
	 batch = 17200 	 loss = 4.23259 	 cost_time = 883.154s
	 batch = 17300 	 loss = 4.68402 	 cost_time = 888.345s
	 batch = 17400 	 loss = 4.27176 	 cost_time = 893.817s
	 batch = 17500 	 loss = 5.54733 	 cost_time = 899.005s
	 batch = 17600 	 loss = 5.14161 	 cost_time = 904.369s
	 batch = 17700 	 loss = 3.39111 	 cost_time = 909.572s
	 batch = 17800 	 loss = 6.10156 	 cost_time = 914.359s
	 batch = 17900 	 loss = 2.60062 	 cost_time = 919.480s
	 batch = 18000 	 loss = 3.64432 	 cost_time = 924.967s
	 batch = 18100 	 loss = 4.29628 	 cost_time = 930.077s
	 batch = 18200 	 loss = 3.01782 	 cost_time = 935.147s
	 batch = 0 	 loss = 2.67487 	 cost_time = 937.292s
	 batch = 100 	 loss = 2.38426 	 cost_time = 942.453s
	 batch = 200 	 loss = 4.47581 	 cost_time = 947.644s
	 batch = 300 	 loss = 3.23592 	 cost_time = 953.271s
	 batch = 400 	 loss = 3.76345 	 cost_time = 958.402s
	 batch = 500 	 loss = 5.16632 	 cost_time = 963.325s
	 batch = 600 	 loss = 3.86039 	 cost_time = 968.231s
	 batch = 700 	 loss = 1.45091 	 cost_time = 973.208s
	 batch = 800 	 loss = 6.19790 	 cost_time = 977.891s
	 batch = 900 	 loss = 5.54681 	 cost_time = 982.790s
	 batch = 1000 	 loss = 2.37733 	 cost_time = 988.949s
	 batch = 1100 	 loss = 3.24749 	 cost_time = 994.221s
	 batch = 1200 	 loss = 4.44271 	 cost_time = 999.196s
	 batch = 1300 	 loss = 2.77219 	 cost_time = 1004.240s
	 batch = 1400 	 loss = 4.59597 	 cost_time = 1009.364s
	 batch = 1500 	 loss = 5.36063 	 cost_time = 1014.421s
	 batch = 1600 	 loss = 4.09157 	 cost_time = 1019.446s
	 batch = 1700 	 loss = 4.18644 	 cost_time = 1024.569s
	 batch = 1800 	 loss = 4.60002 	 cost_time = 1029.608s
	 batch = 1900 	 loss = 2.00369 	 cost_time = 1034.568s
	 batch = 2000 	 loss = 4.52069 	 cost_time = 1040.457s
	 batch = 2100 	 loss = 4.48531 	 cost_time = 1045.421s
	 batch = 2200 	 loss = 3.35861 	 cost_time = 1050.284s
	 batch = 2300 	 loss = 3.15905 	 cost_time = 1055.303s
	 batch = 2400 	 loss = 4.39797 	 cost_time = 1060.251s
	 batch = 2500 	 loss = 1.77972 	 cost_time = 1065.238s
	 batch = 2600 	 loss = 4.08890 	 cost_time = 1070.284s
	 batch = 2700 	 loss = 4.22878 	 cost_time = 1075.755s
	 batch = 2800 	 loss = 5.11723 	 cost_time = 1080.550s
	 batch = 2900 	 loss = 4.25704 	 cost_time = 1085.561s
	 batch = 3000 	 loss = 4.85166 	 cost_time = 1091.469s
	 batch = 3100 	 loss = 2.98908 	 cost_time = 1096.625s
	 batch = 3200 	 loss = 3.50740 	 cost_time = 1101.836s
	 batch = 3300 	 loss = 4.87616 	 cost_time = 1106.637s
	 batch = 3400 	 loss = 4.06108 	 cost_time = 1111.755s
	 batch = 3500 	 loss = 2.22406 	 cost_time = 1116.915s
	 batch = 3600 	 loss = 3.48177 	 cost_time = 1121.795s
	 batch = 3700 	 loss = 3.62831 	 cost_time = 1126.793s
	 batch = 3800 	 loss = 3.19219 	 cost_time = 1131.776s
	 batch = 3900 	 loss = 6.84383 	 cost_time = 1136.992s
	 batch = 4000 	 loss = 5.13758 	 cost_time = 1142.651s
	 batch = 4100 	 loss = 4.64714 	 cost_time = 1147.642s
	 batch = 4200 	 loss = 2.58994 	 cost_time = 1152.960s
	 batch = 4300 	 loss = 3.10370 	 cost_time = 1157.980s
	 batch = 4400 	 loss = 4.03348 	 cost_time = 1163.022s
	 batch = 4500 	 loss = 3.36458 	 cost_time = 1167.919s
	 batch = 4600 	 loss = 2.03652 	 cost_time = 1172.777s
	 batch = 4700 	 loss = 3.36772 	 cost_time = 1177.799s
	 batch = 4800 	 loss = 5.53570 	 cost_time = 1182.825s
	 batch = 4900 	 loss = 4.85171 	 cost_time = 1187.799s
	 batch = 5000 	 loss = 3.86637 	 cost_time = 1193.305s
	 batch = 5100 	 loss = 5.46353 	 cost_time = 1198.365s
	 batch = 5200 	 loss = 2.31708 	 cost_time = 1203.388s
	 batch = 5300 	 loss = 3.25007 	 cost_time = 1208.416s
	 batch = 5400 	 loss = 5.66571 	 cost_time = 1213.389s
	 batch = 5500 	 loss = 7.26715 	 cost_time = 1218.265s
	 batch = 5600 	 loss = 3.58288 	 cost_time = 1223.676s
	 batch = 5700 	 loss = 1.73737 	 cost_time = 1228.785s
	 batch = 5800 	 loss = 3.72514 	 cost_time = 1233.968s
	 batch = 5900 	 loss = 4.15627 	 cost_time = 1239.075s
	 batch = 6000 	 loss = 3.38268 	 cost_time = 1244.796s
	 batch = 6100 	 loss = 2.56369 	 cost_time = 1250.154s
	 batch = 6200 	 loss = 5.61725 	 cost_time = 1255.320s
	 batch = 6300 	 loss = 4.56814 	 cost_time = 1260.366s
	 batch = 6400 	 loss = 3.95408 	 cost_time = 1265.357s
	 batch = 6500 	 loss = 4.09415 	 cost_time = 1270.376s
	 batch = 6600 	 loss = 2.40462 	 cost_time = 1275.533s
	 batch = 6700 	 loss = 1.85738 	 cost_time = 1280.563s
	 batch = 6800 	 loss = 3.84705 	 cost_time = 1285.674s
	 batch = 6900 	 loss = 3.26700 	 cost_time = 1290.656s
	 batch = 7000 	 loss = 2.28395 	 cost_time = 1296.765s
	 batch = 7100 	 loss = 2.11271 	 cost_time = 1301.830s
	 batch = 7200 	 loss = 6.66816 	 cost_time = 1306.938s
	 batch = 7300 	 loss = 4.62212 	 cost_time = 1311.710s
	 batch = 7400 	 loss = 7.84860 	 cost_time = 1316.619s
	 batch = 7500 	 loss = 3.33768 	 cost_time = 1321.650s
	 batch = 7600 	 loss = 4.76986 	 cost_time = 1326.870s
	 batch = 7700 	 loss = 3.40892 	 cost_time = 1331.898s
	 batch = 7800 	 loss = 4.07479 	 cost_time = 1336.862s
	 batch = 7900 	 loss = 3.26001 	 cost_time = 1341.688s
	 batch = 8000 	 loss = 2.99194 	 cost_time = 1347.349s
	 batch = 8100 	 loss = 4.10261 	 cost_time = 1352.464s
	 batch = 8200 	 loss = 3.31583 	 cost_time = 1357.368s
	 batch = 8300 	 loss = 4.72257 	 cost_time = 1362.268s
	 batch = 8400 	 loss = 2.36072 	 cost_time = 1367.010s
	 batch = 8500 	 loss = 3.02466 	 cost_time = 1372.183s
	 batch = 8600 	 loss = 5.57537 	 cost_time = 1377.077s
	 batch = 8700 	 loss = 4.37165 	 cost_time = 1382.078s
	 batch = 8800 	 loss = 3.09846 	 cost_time = 1387.104s
	 batch = 8900 	 loss = 4.51603 	 cost_time = 1392.147s
	 batch = 9000 	 loss = 4.00610 	 cost_time = 1398.127s
	 batch = 9100 	 loss = 4.25514 	 cost_time = 1403.242s
	 batch = 9200 	 loss = 3.09722 	 cost_time = 1408.321s
	 batch = 9300 	 loss = 4.08358 	 cost_time = 1413.375s
